Date,Open,High,Low,Close,Volume,ticker
2013/4/11,150.76,151.71,150.629,151.05,8050017,GLD
2013/4/12,148.65,148.8499,143.426,143.95,55542830,GLD
2013/4/15,136,136.75,130.51,131.31,93694690,GLD
2013/4/16,134.9,135.11,131.76,132.8,45596420,GLD
2013/4/17,133.81,134.95,132.32,132.87,25333270,GLD
2013/4/18,134.12,135.31,133.62,134.3,20038900,GLD
2013/4/19,136,136.02,134.6,135.47,15657650,GLD
2013/4/22,138.15,138.269,137.22,137.9,16565170,GLD
2013/4/23,137.22,137.24,135.85,136.88,14644280,GLD
2013/4/24,138.09,138.55,137.45,138.3699,10368330,GLD
2013/4/25,140,142.08,139.785,141.63,18884090,GLD
2013/4/26,142.3,143.43,140.04,140.91,19302660,GLD
2013/4/29,142.135,142.66,141.485,142.3,10837470,GLD
2013/4/30,142.27,142.83,141.55,142.77,11282570,GLD
2013/5/1,140.59,141.55,139.3001,141.11,13909860,GLD
2013/5/2,142,142.47,141.642,141.92,11497150,GLD
2013/5/3,141.7,142.71,141.4,142.09,11665690,GLD
2013/5/6,142.33,142.465,141.63,142.15,7730080,GLD
2013/5/7,140.38,140.64,139.37,140.38,13625430,GLD
2013/5/8,141.78,142.81,141.49,142.46,11159600,GLD
2013/5/9,141.33,142.36,140.51,140.81,8258382,GLD
2013/5/10,138.22,139.75,137.26,139.6,14650500,GLD
2013/5/13,138.46,138.966,138.16,138.43,6712690,GLD
2013/5/14,137.95,139.16,137.64,137.81,9893099,GLD
2013/5/15,136.59,136.98,134.23,134.63,19060080,GLD
2013/5/16,133.18,134.48,133,134.09,12757370,GLD
2013/5/17,133.17,133.48,131.02,131.07,20273140,GLD
2013/5/20,130.88,135.32,130.85,135.12,21556420,GLD
2013/5/21,132.17,133.65,131.452,132.88,14526070,GLD
2013/5/22,134.18,136.77,130.95,131.94,25972570,GLD
2013/5/23,134.51,134.84,133.12,134.61,10266840,GLD
2013/5/24,134.11,134.51,133.64,133.76,5522184,GLD
2013/5/28,133.68,135.57,132.8,133.49,12465980,GLD
2013/5/29,134.09,134.91,133.64,134.83,8761324,GLD
2013/5/30,136.67,137.11,136.26,136.7,8611151,GLD
2013/5/31,135.71,136.05,133.89,133.92,9755746,GLD
2013/6/3,134.77,136.98,134.43,136.51,9172892,GLD
